,industry,function,usecase,paragraph_id,sentence,usecase_indication
918,data and analytics,data and analytics,can tailor offerings to the individual,918,models of disruption fueled by data and analytics ,1.298063
857,data and analytics,data and analytics,disruption,857,models of disruption fueled by data and analytics ,1.298063
1055,data and analytics,data and analytics,data and analytics,1055,models of disruption fueled by data and analytics ,1.298063
1106,health care,health care,"view into the future , leading to more effective and judicious use of resources",1106,models of disruption fueled by data and analytics ,1.298063
1125,internet of things,internet of things,mapping the value beyond the hype,1125,models of disruption fueled by data and analytics ,1.298063
1003,education,"education , for instance , has much in common with health care in that the individual characteristics of every participant in the system are unique and complex , but today relatively standardized services are provided to large groups of different individuals . delivering personalized education will require data on individual students ’ learning style , the knowledge and skills they already possess , the goals they wish to pursue , and their progress . educational environments can then be tailored to deliver the right mode of instruction through the most effective medium — and do so at the appropriate pace , helping each student master one topic before moving on to the next . renaissance learning , for example , has developed software - based assessments",delivering,1003,models of disruption fueled by data and analytics ,1.298063
1155,data and analytics,"machine learning are remarkably broad . the value potential is everywhere , even extending into sectors that have been slow to apply data and analytics . as applications of this technology are adopted , they could generate tremendous productivity gains and an improved quality of life",they could generate tremendous productivity gains and an improved quality of life,1155,models of disruption fueled by data and analytics ,1.298063
978,health and longevity,data - driven,potential effect on health and longevity,978,models of disruption fueled by data and analytics ,1.298063
1179,es,duplicate,duplicate,1179,models of disruption fueled by data and analytics ,1.298063
1189,other analytics,other analytics,analytics,1189,models of disruption fueled by data and analytics ,1.298063
944,exhibit,exhibit,exhibit,944,models of disruption fueled by data and analytics ,1.298063
885,paper,paper,paper,885,models of disruption fueled by data and analytics ,1.298063
1041,banks,banks,banks,1041,models of disruption fueled by data and analytics ,1.298063
45,data and analytics,data and analytics,the convergence of these trends is fueling rapid technology advances and business disruptions,45,models of disruption fueled by data and analytics ,1.298063
1407,deep learning,deep learning,the coming wave,1407,communicating with supervisors peers or subordinates ,1.2979934
643,google,artificial intelligence,artificial intelligence,643,designing effective data architecture and technology infrastructure ,1.296471
319,exhibit,what kind of application ? [SEP],exhibit,319,trained on a historical text fill in missing parts of a single page ,1.2946305
